clubName,logo,website
Manchester United,https://static.foba1.com/bilder/wappen/mittel/543.gif,www.manutd.com
Manchester City,https://static.foba1.com/bilder/wappen/mittel/750.gif,www.mcfc.co.uk
Tottenham Hotspur,https://static.foba1.com/bilder/wappen/mittel/552.gif,www.spurs.co.uk
Watford FC,https://static.foba1.com/bilder/wappen/mittel/747.gif,www.watfordfc.premiumtv.co.uk
Chelsea FC,https://static.foba1.com/bilder/wappen/mittel/544.gif,www.chelseafc.co.uk
Arsenal FC,https://static.foba1.com/bilder/wappen/mittel/555.gif,www.arsenal.com
Burnley FC,https://static.foba1.com/bilder/wappen/mittel/3185.gif,www.burnleyfootballclub.com
Liverpool FC,https://static.foba1.com/bilder/wappen/mittel/550.gif,www.liverpoolfc.tv
Newcastle United,https://static.foba1.com/bilder/wappen/mittel/546.gif,www.nufc.co.uk
West Bromwich Albion,https://static.foba1.com/bilder/wappen/mittel/748.gif,www.wba.co.uk
Southampton FC,https://static.foba1.com/bilder/wappen/mittel/545.gif,www.saintsfc.co.uk
Huddersfield Town,https://static.foba1.com/bilder/wappen/mittel/3017.gif,www.htafc.com/
Swansea City,https://static.foba1.com/bilder/wappen/mittel/3183.gif,www.swanseacity.net
Brighton & Hove Albion,https://static.foba1.com/bilder/wappen/mittel/3050.gif,www.seagulls.co.uk
West Ham United,https://static.foba1.com/bilder/wappen/mittel/553.gif,www.whufc.com/
Everton FC,https://static.foba1.com/bilder/wappen/mittel/560.gif,www.evertonfc.com
Stoke City,https://static.foba1.com/bilder/wappen/mittel/2807.gif,www.stokecityfc.com
Leicester City,https://static.foba1.com/bilder/wappen/mittel/549.gif,www.lcfc.co.uk
AFC Bournemouth,https://static.foba1.com/bilder/wappen/mittel/2248.gif,www.afcb.co.uk
Crystal Palace,https://static.foba1.com/bilder/wappen/mittel/2242.gif,www.cpfc.co.uk
FC Barcelona,https://static.foba1.com/bilder/wappen/mittel/530.gif,www.fcbarcelona.com
Valencia CF,https://static.foba1.com/bilder/wappen/mittel/531.gif,www.valenciacf.es
Real Madrid,https://static.foba1.com/bilder/wappen/mittel/532.gif,www.realmadrid.es
Atletico Madrid,https://static.foba1.com/bilder/wappen/mittel/737.gif,www.clubatleticodemadrid.com
Sevilla FC,https://static.foba1.com/bilder/wappen/mittel/529.gif,www.sevillafc.es
CD Leganes,https://static.foba1.com/bilder/wappen/mittel/3668.gif,www.deportivoleganes.com
Real Sociedad,https://static.foba1.com/bilder/wappen/mittel/527.gif,www.real-sociedad-sad.es
Villarreal CF,https://static.foba1.com/bilder/wappen/mittel/538.gif,www.villarrealcf.es
Real Betis,https://static.foba1.com/bilder/wappen/mittel/540.gif,www.realbetisbalompie.es
Celta Vigo,https://static.foba1.com/bilder/wappen/mittel/536.gif,www.celtavigo.net
Athletic Bilbao,https://static.foba1.com/bilder/wappen/mittel/528.gif,www.athletic-club.net
Levante UD,https://static.foba1.com/bilder/wappen/mittel/2809.gif,es.levanteud.com
Espanyol Barcelona,https://static.foba1.com/bilder/wappen/mittel/525.gif,www.rcdespanyol.com
Getafe CF,https://static.foba1.com/bilder/wappen/mittel/3689.gif,www.getafecf.com
Deportivo La Coruna,https://static.foba1.com/bilder/wappen/mittel/523.gif,www.canaldeportivo.com
SD Eibar,https://static.foba1.com/bilder/wappen/mittel/3569.gif,www.sdeibar.com
Girona FC,https://static.foba1.com/bilder/wappen/mittel/5264.gif,www.gironafutbolclub.com
UD Las Palmas,https://static.foba1.com/bilder/wappen/mittel/522.gif,www.udlaspalmas.es
CD Alaves,https://static.foba1.com/bilder/wappen/mittel/534.gif,www.alaves.com
Malaga CF,https://static.foba1.com/bilder/wappen/mittel/539.gif,www.malagacf.es
Toronto FC,https://static.foba1.com/bilder/wappen/mittel/8164.gif,www.torontofc.ca/
New York City FC,https://static.foba1.com/bilder/wappen/mittel/21448.gif,www.nycfc.com/
Chicago Fire,https://static.foba1.com/bilder/wappen/mittel/2269.gif,www.chicago-fire.com/
Atlanta United FC,https://static.foba1.com/bilder/wappen/mittel/25128.gif,www.atlutd.com/
