playerName,position,gamesPlayed,goalsScored,yellowCards,redCards,clubName
De Gea,GK,365,0,6,0,Manchester United
Phil Jones,DF,220,5,28,0,Manchester United
Romelu Lukaku,ST,326,156,24,1,Manchester United
Nemanja Matic,MF,287,19,63,3,Manchester United
Antonio Valencia,DF,408,30,54,4,Manchester United
Henrikh Mkhitaryan,MF,338,111,43,0,Manchester United
Eric Bailly,DF,120,2,33,5,Manchester United
Marcus Rashford,ST,92,26,5,0,Manchester United
Juan Mata,MF,504,124,42,1,Manchester United
Paul Pogba,MF,242,45,39,1,Manchester United
Marouane Fellaini,MF,392,63,95,5,Manchester United
Fernandinho,MF,491,78,103,8,Manchester City
Nicolas Otamendi,DF,322,18,84,2,Manchester City
David Silva,MF,523,87,61,3,Manchester City
Ederson,GK,124,0,17,2,Manchester City
Kevin De Bruyne,MF,325,72,32,2,Manchester City
John Stones,DF,176,6,9,1,Manchester City
Kyle Walker,DF,311,6,52,1,Manchester City
Gabriel Jesus,ST,74,35,20,1,Manchester City
Raheem Sterling,MF,234,52,29,1,Manchester City
Sergio Kun Aguero,ST,551,301,64,5,Manchester City
Leroy Sane,MF,106,28,13,0,Manchester City
Toby Alderweireld,DF,335,24,31,0,Tottenham Hotspur
Hugo Lloris,GK,502,0,6,2,Tottenham Hotspur
Jan Vertonghen,DF,454,40,80,3,Tottenham Hotspur
Dele Alli,MF,190,58,33,1,Tottenham Hotspur
Harry Kane,ST,241,126,19,1,Tottenham Hotspur
Eric Dier,MF,191,11,31,0,Tottenham Hotspur
Christian Eriksen,MF,351,76,17,0,Tottenham Hotspur
Kieran Trippier,DF,279,9,22,1,Tottenham Hotspur
Ben Davies,DF,183,7,24,0,Tottenham Hotspur
Davinson Sanchez,DF,99,8,16,0,Tottenham Hotspur
Moussa Sissoko,MF,398,37,50,3,Tottenham Hotspur
Abdoulaye Doucoure,MF,138,20,21,0,Watford FC
Heurelho Gomes,GK,503,0,20,1,Watford FC
Tom Cleverly,MF,244,28,28,1,Watford FC
Richarlison,MF,78,23,10,1,Watford FC
Jose Holebas,DF,336,33,63,5,Watford FC
Kiko Femenia,MF,243,15,27,0,Watford FC
Christian Kabasele,DF,180,20,26,1,Watford FC
Andre Gray,ST,151,58,7,0,Watford FC
Nathaniel Chalobah,DF,126,10,17,2,Watford FC
Adrian Mariappa,DF,42,1,3,1,Watford FC
Andre Carrillo,MF,209,23,36,1,Watford FC
Azpilicueta,DF,415,8,56,2,Chelsea FC
Thibaut Courtois,GK,318,0,9,3,Chelsea FC
Marcos Alonso,DF,199,18,41,3,Chelsea FC
N'Golo Kante,MF,174,10,24,1,Chelsea FC
Willian,MF,428,64,34,1,Chelsea FC
Cesc Fabregas,MF,600,118,112,3,Chelsea FC
Antonio Rudiger,DF,184,7,31,6,Chelsea FC
David Luiz,DF,396,29,99,1,Chelsea FC
Tiemoue Bakayoko,MF,131,8,18,2,Chelsea FC
Morata,ST,216,77,37,2,Chelsea FC
Victor Moses,MF,312,43,20,2,Chelsea FC
Petr Cech,GK,726,0,11,2,Arsenal FC
Hector Bellerin,DF,133,5,17,0,Arsenal FC
Nacho Monreal,DF,381,8,55,3,Arsenal FC
Granit Xhaka,MF,256,16,57,8,Arsenal FC
Sead Kolasinac,MF,140,8,30,0,Arsenal FC
Alexandre Lacazette,ST,284,133,35,2,Arsenal FC
Aaron Ramsey,MF,337,51,42,1,Arsenal FC
Danny Welbeck,ST,257,58,15,0,Arsenal FC
Shkodran Mustafi,DF,178,9,50,4,Arsenal FC
Laurent Koscielny,DF,423,32,52,8,Arsenal FC
Mesut Ozil,MF,473,77,35,3,Arsenal FC
Jack Cork,MF,381,13,41,1,Burnley FC
Matthew Lowton,DF,239,13,37,2,Burnley FC
Ben Mee,DF,240,6,43,1,Burnley FC
James Tarkowski,DF,193,9,30,3,Burnley FC
Stephen Ward,MF,371,17,31,2,Burnley FC
Robbie Brady,MF,211,24,22,2,Burnley FC
Steven Defour,MF,398,33,77,2,Burnley FC
Chris Wood,ST,302,105,7,0,Burnley FC
Johann Gudjmundsson,MF,291,43,20,1,Burnley FC
Nick Pope,GK,95,0,2,0,Burnley FC
Scott Arfield,MF,403,43,49,1,Burnley FC
Joel Matip,DF,307,25,32,2,Liverpool FC
Jordan Henderson,MF,343,30,44,1,Liverpool FC
Simon Mignolet,GK,356,1,14,0,Liverpool FC
Mohamed Salah,MF,253,80,11,1,Liverpool FC
Georginio Wijnaldum,MF,386,101,19,0,Liverpool FC
Roberto Firmino,ST,256,78,36,0,Liverpool FC
Alberto Moreno,DF,182,6,31,1,Liverpool FC
Emre Can,MF,217,18,50,2,Liverpool FC
Joe Gomez,DF,51,1,9,1,Liverpool FC
Dejan Lovren,DF,323,12,57,8,Liverpool FC
Sadio Mane,MF,220,86,35,7,Liverpool FC
Rob Elliot,GK,167,0,12,1,Newcastle United
Matt Ritchie,MF,341,79,45,0,Newcastle United
Jamaal Lascelles,DF,154,12,29,1,Newcastle United
Ayoze Perez,MF,160,42,15,0,Newcastle United
Christian Atsu,ST,154,20,7,0,Newcastle United
Ciaran Clark,DF,202,14,49,2,Newcastle United
Mikel Merino,MF,84,8,25,2,Newcastle United
Isaac Hayden,MF,73,4,20,0,Newcastle United
Manquillo,DF,107,1,9,0,Newcastle United
Joselu,ST,180,47,23,1,Newcastle United
Chancel Mbemba,DF,130,10,15,1,Newcastle United
Craig Dawson,DF,264,35,32,1,West Bromwich Albion
Jay Rodriguez,ST,273,82,26,0,West Bromwich Albion
Ahmed Hegazy,DF,91,2,13,2,West Bromwich Albion
Gareth Barry,MF,764,63,127,7,West Bromwich Albion
Ben Foster,GK,337,0,14,1,West Bromwich Albion
Jake Livermore,MF,267,12,46,1,West Bromwich Albion
Matt Phillips,MF,282,47,12,0,West Bromwich Albion
Jonny Evans,DF,304,12,35,2,West Bromwich Albion
Allan Nyom,DF,264,2,69,1,West Bromwich Albion
Grzegorz Krychowiak,MF,250,15,64,4,West Bromwich Albion
Chris Brunt,MF,449,66,66,1,West Bromwich Albion
Fraser Forster,GK,335,0,16,2,Southampton FC
Ryan Bertrand,DF,322,10,42,1,Southampton FC
Cedric Soares,DF,187,2,48,2,Southampton FC
Oriol Romeu,MF,189,5,47,0,Southampton FC
Nathan Redmond,MF,265,30,12,1,Southampton FC
Dusan Tadic,ST,354,84,40,0,Southampton FC
Maya Yoshida,DF,269,20,21,1,Southampton FC
Steven Davis,MF,515,40,28,0,Southampton FC
Mario Lemina,MF,116,5,14,2,Southampton FC
Manolo Gabbiadini,ST,235,67,25,1,Southampton FC
Shane Long,ST,433,105,37,2,Southampton FC
Thomas Ince,MF,271,75,22,0,Huddersfield Town
Mathias Jorgensen,DF,302,20,42,3,Huddersfield Town
Jonas Lossl,GK,253,0,7,0,Huddersfield Town
Christopher Schindler,DF,262,9,31,1,Huddersfield Town
Tom Smith,DF,165,5,2,0,Huddersfield Town
Elias Kachunga,ST,220,54,32,1,Huddersfield Town
Aaron Mooy,MF,188,29,26,0,Huddersfield Town
Chris Lowe,DF,266,15,36,0,Huddersfield Town
Rajiv van La Parra,MF,239,23,16,2,Huddersfield Town
Philip Billing,MF,51,4,7,1,Huddersfield Town
Laurent Depoitre,ST,208,66,16,0,Huddersfield Town
Jordan Ayew,ST,279,54,48,4,Swansea City
Lukasz Fabianski,GK,259,0,6,1,Swansea City
Federico Fernandez,DF,258,10,42,3,Swansea City
Alfie Mawson,DF,145,20,11,0,Swansea City
Kyle Naughton,DF,305,9,39,3,Swansea City
Martin Olsson,DF,296,10,36,4,Swansea City
Tom Carroll,MF,153,6,13,0,Swansea City
Tammy Abraham,ST,79,40,3,0,Swansea City
Leroy Fer,MF,344,57,58,2,Swansea City
Sam Clucas,MF,216,35,30,1,Swansea City
Renato Sanches,MF,100,5,19,3,Swansea City
Lewis Dunk,DF,201,13,45,5,Brighton & Hove Albion
Davy Propper,MF,259,43,28,1,Brighton & Hove Albion
Mathew Ryan,GK,249,0,13,0,Brighton & Hove Albion
Dale Stephens,MF,282,36,46,2,Brighton & Hove Albion
Shane Duffy,DF,175,12,34,2,Brighton & Hove Albion
Pascal Gross,MF,236,28,38,1,Brighton & Hove Albion
Solomon March,MF,101,11,7,0,Brighton & Hove Albion
Markus Suttner,DF,378,14,66,2,Brighton & Hove Albion
Bruno,DF,417,7,99,5,Brighton & Hove Albion
Anthony Knockaert,MF,251,59,41,0,Brighton & Hove Albion
Tomer Hemed,ST,233,79,16,1,Brighton & Hove Albion
Joe Hart,GK,436,0,10,0,West Ham United
Pablo Zabaleta,DF,527,23,119,7,West Ham United
Javier Hernandez,ST,354,139,33,1,West Ham United
Aaron Cresswell,DF,326,17,23,3,West Ham United
Michail Antonio,MF,295,65,31,1,West Ham United
Winston Reid,DF,298,13,64,2,West Ham United
Jose Fonte,DF,450,22,74,2,West Ham United
Cheikhou Kouyate,MF,347,21,38,6,West Ham United
Mark Noble,MF,425,48,82,4,West Ham United
Andre Ayew,ST,328,86,54,2,West Ham United
Angelo Ogbonna,DF,278,3,40,2,West Ham United
Jordan Pickford,GK,141,0,6,3,Everton FC
Leighton Baines,DF,540,40,61,1,Everton FC
